datetime,player,channel,message
2026-06-11 12:12:13,uptimelabs,online-boutique-9428,":warning: :warning::warning: Warning :warning::warning: :warning:



 You are about to face the 'Snipe Hunt'.



 Are you prepared for the challenge? "
2026-06-11 12:12:24,uptimelabs,online-boutique-9428,"*Access game links by pressing the drill links button by the side of timer*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-06-11 12:13:05,bez,online-boutique-9428,Excited for today's tech summit fireside - I'll be joining later
2026-06-11 12:13:08,tinus,online-boutique-9428,"Looking forward to it - got a few good stories lined up, should be a good one."
2026-06-11 12:13:13,shay,online-boutique-9428,"Good luck you two, go smash it!"
2026-06-11 12:13:19,bob,online-boutique-9428,"Something's not right - I'm getting slammed with complaints, something is seriously wrong."
2026-06-11 12:13:38,PLAYER,online-boutique-9428,@bob whats going on ?
2026-06-11 12:13:47,bob,online-boutique-9428,"Checkout is broken. Customers are getting all the way through, but at the last step it just hangs or times out."
2026-06-11 12:13:53,bob,online-boutique-9428,"This isn't just one region. We're seeing complaints from the UK, US, and other places too."
2026-06-11 12:13:59,bob,online-boutique-9428,Ticket volume is spiking. We've had about 34 new tickets in the last five minutes and it's still climbing.
2026-06-11 12:14:07,bob,online-boutique-9428,People can't complete checkout at all right now. We're getting buried in complaints from every direction.
2026-06-11 12:14:13,shay,online-boutique-9428,"hey — not trying to distract from this, but tanya kicked off the email maintenance right before the complaints started. probably nothing, but the timing is a bit close."
2026-06-11 12:14:17,PLAYER,online-boutique-9428,
2026-06-11 12:14:17,uptimelabs,business-comms-9428,*Incident Number INC1002:* SEV-1 Customers facing issues on checkout
2026-06-11 12:14:22,bez,business-comms-9428,How many customers are blocked from checking out? What’s the estimated revenue loss per minute right now?
2026-06-11 12:14:54,PLAYER,online-boutique-9428,@shay can you check whether incident is across region or only few regions re impacted 
2026-06-11 12:14:58,shay,online-boutique-9428,"it's everywhere. not just one region — we've got reports from the us, uk, and a bunch of others."
2026-06-11 12:15:32,PLAYER,business-comms-9428,@bez we got complaints that customers are not able to checkout team is on it will share the impact radius and any updates we get on the issue 
2026-06-11 12:15:36,bez,business-comms-9428,Is this a total checkout outage or are some transactions still going through? I need clarity on scope immediately.
2026-06-11 12:16:51,PLAYER,online-boutique-9428,@shay please check checkout service logs 
2026-06-11 12:16:57,shay,online-boutique-9428,"wait hang on, that's a lot of errors, checkout is completely broken right now. tanya kicked off the email maintenance just before this, I wonder if that's related."
2026-06-11 12:17:09,shay,online-boutique-9428,"okay, pulled the logs — look at this: https://assets.prod.uptimelabs.io/drill-assets/43/developer_investigation_logs.webp"
2026-06-11 12:17:18,shay,online-boutique-9428,"errors are flooding in from multiple regions, checkout failures across the board"
2026-06-11 12:17:23,PLAYER,online-boutique-9428,@bob how many customers are impacted and revenue loss are looking at 
2026-06-11 12:17:27,bob,online-boutique-9428,"No successful transactions since this started. We're losing about £1,000 to £1,500 a minute at peak. This is major."
2026-06-11 12:17:36,shay,online-boutique-9428,I keep coming back to the email maintenance — DNS changes went live just before this all kicked off. zero successful transactions since then. that's not nothing.
2026-06-11 12:18:09,PLAYER,business-comms-9428,"@bez outage is global and no successful transactions since this started. We're losing about £1,000 to £1,500 a minute at peak"
2026-06-11 12:18:12,bez,business-comms-9428,Do we know what’s causing this yet? Where exactly is the failure? Are we any closer to a fix?
2026-06-11 12:18:34,PLAYER,online-boutique-9428,@daniel please get the DNS changes reverted 
2026-06-11 12:18:41,daniel,online-boutique-9428,"Just to confirm, do you want me to roll back the DNS changes or a specific deployment from the change list?"
2026-06-11 12:19:12,PLAYER,business-comms-9428,@bez seems like our checkout service is complexity down and we are identifying the root cause 
2026-06-11 12:19:15,bez,business-comms-9428,"How long until this is fixed? I need a concrete ETA for the board. Give me a number, not guesses."
2026-06-11 12:19:40,PLAYER,online-boutique-9428,@daniel just revert DSN changes 
2026-06-11 12:19:43,daniel,online-boutique-9428,"I don't have access to DNS or infra, that's Tanya's area. She'll need to handle any DNS rollback."
2026-06-11 12:20:57,PLAYER,business-comms-9428,"@bez team is prioritising system fix right now will share exact RCA once we have the root cause 
ETA on system gets to normal 20 min   "
2026-06-11 12:21:01,bez,business-comms-9428,"20 minutes is a long window at this burn rate. If you miss that, our SLA is at risk. Keep me posted if that changes."
2026-06-11 12:21:14,PLAYER,online-boutique-9428,@hamed please look into this 
2026-06-11 12:21:36,hamed,online-boutique-9428,"Automated reply: Out of office — on holiday today and unavailable. For platform matters contact Tanya. For approvals, please escalate to Tinus."
2026-06-11 12:22:38,PLAYER,online-boutique-9428,@tanya can you get this reverted
2026-06-11 12:22:42,tanya,online-boutique-9428,"I'm mid-way through a canary rollout wiring up a secondary email provider. Maintenance window started at 12:12 UTC, 9 minutes ago."
2026-06-11 12:22:52,tanya,online-boutique-9428,"Primary email provider hasn't been touched. Email confirmations are fine, so this maintenance can't be causing checkout failures. Bob was informed, no user-facing banner needed."
2026-06-11 12:23:05,tanya,online-boutique-9428,"I'm deep in the vendor session, can't take on anything else. Daniel and Shay can cover the application side."
2026-06-11 12:23:15,PLAYER,online-boutique-9428,@shay meanwhile please check payment service logs as well seems like checkout service and payment service are not able to communicate 
2026-06-11 12:23:22,shay,online-boutique-9428,still feels worth keeping an eye on — that timing hasn't gone away.
2026-06-11 12:23:27,daniel,online-boutique-9428,"seeing errors in AdService, EmailService, and CheckoutService logs. Could be related or just noise, not sure yet."
2026-06-11 12:23:35,shay,online-boutique-9428,daniel pushed some checkout changes recently — payment timeout bump and some old feature flag cleanup. might be worth circling back if nothing else jumps out.
2026-06-11 12:23:45,daniel,online-boutique-9428,email maintenance timing hasn't been officially ruled out yet. still an open thread.
2026-06-11 12:23:50,shay,online-boutique-9428,"If checkout is broken, the immediate downstream services to check are EmailService, PaymentService, or ShippingService — one of these is likely what's actually broken."
2026-06-11 12:24:02,daniel,online-boutique-9428,I've pulled PaymentService and CheckoutService logs now. See these are the critical errors found: https://assets.prod.uptimelabs.io/drill-assets/43/payment_logs.webp
2026-06-11 12:24:13,daniel,online-boutique-9428,"Logs checked. PaymentService fails all outbound gateway handshakes. Checkout is healthy, just getting errors."
2026-06-11 12:24:21,shay,online-boutique-9428,"this failure's at the connection layer, that's tanya's domain not app side. worth pulling her off email maintenance to check platform side?"
2026-06-11 12:25:17,PLAYER,online-boutique-9428,@tanya
2026-06-11 12:25:43,PLAYER,online-boutique-9428,@tanyadrop the canary rollout and get on top of this  
2026-06-11 12:25:47,tanya,online-boutique-9428,"Can't step away, if I leave now we lose the vendor window for 2 weeks. Sorry, I have to stay on this."
2026-06-11 12:26:56,PLAYER,business-comms-9428,@bez team is on it but platform engineers are busy with vendor discussion closure will get them to drop that and ask them to get the issue fixed on priroity 
2026-06-11 12:26:59,bez,business-comms-9428,"Ok, i'm reaching out to Tanya now."
2026-06-11 12:27:01,PLAYER,online-boutique-9428,@tanya
2026-06-11 12:27:19,bez,business-comms-9428,"Just got off a quick call with Tanya, told her to halt the email rollout and join you. Incident takes priority. She should be with you shortly."
2026-06-11 12:27:29,tanya,online-boutique-9428,"Got a call from Bez. Pausing the email maintenance now, let me know where should i look into ?"
2026-06-11 12:27:52,PLAYER,online-boutique-9428,@tanya please drop the vendor discussion and get on incident first and revert DNS changes 
2026-06-11 12:27:57,tanya,online-boutique-9428,"On it, checking the payments server now."
2026-06-11 12:27:59,tanya,online-boutique-9428,DNS outbound path to ClearBank is clean. Screenshot: https://assets.prod.uptimelabs.io/drill-assets/43/payment-service-kn342hhvk5khf2.webp
2026-06-11 12:28:09,tanya,online-boutique-9428,"Not a network or DNS issue. PaymentService is failing at SSL certificate verification when connecting to ClearBank. Container is healthy, failure is at TLS handshake."
2026-06-11 12:28:19,daniel,online-boutique-9428,"That's odd, no recent app deployments on PaymentService. Did anything change on the platform side? Tanya or Hamed?"
2026-06-11 12:29:55,PLAYER,online-boutique-9428,@daniel am also seeing checkout service config changes deployment can we verify that 
2026-06-11 12:29:59,daniel,online-boutique-9428,"No application code changes to PaymentService in the last week. The only activity I can see is a certificate rotation — CHG90123 | Tanya | PROD | SSL Certificate Rotation (ProductCatalogueService, PaymentService, CheckoutService, CartService) — 7 days ago."
