datetime,player,channel,message
2026-06-12 15:11:40,uptimelabs,online-boutique-9458,":warning: :warning::warning: Warning :warning::warning: :warning:



 You are about to face the 'Snipe Hunt'.



 Are you prepared for the challenge? "
2026-06-12 15:11:51,uptimelabs,online-boutique-9458,"*Access game links by pressing the drill links button by the side of timer*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-06-12 15:12:52,bez,online-boutique-9458,Excited for today's tech summit fireside - I'll be joining later
2026-06-12 15:12:55,tinus,online-boutique-9458,"Looking forward to it - got a few good stories lined up, should be a good one."
2026-06-12 15:13:00,shay,online-boutique-9458,"Good luck you two, go smash it!"
2026-06-12 15:13:06,bob,online-boutique-9458,"Something's not right - I'm getting slammed with complaints, something is seriously wrong."
2026-06-12 15:13:19,PLAYER,online-boutique-9458,"@bob where are the complaints from, hwo frequent?"
2026-06-12 15:13:32,bob,online-boutique-9458,"It's not just one region. We're seeing complaints from the UK, US, and a bunch of other places."
2026-06-12 15:13:37,bob,online-boutique-9458,"Checkout works right up until the last step, then it just hangs or times out for people."
2026-06-12 15:13:43,bob,online-boutique-9458,Tickets are flying in. We've had about 34 in the last five minutes and the queue keeps growing.
2026-06-12 15:13:50,bob,online-boutique-9458,"Everyone's saying the same thing: can't finish checkout, getting stuck at the end. It's coming in from everywhere."
2026-06-12 15:13:56,shay,online-boutique-9458,"hey — not trying to distract from this, but tanya kicked off the email maintenance right before the complaints started. probably nothing, but the timing is a bit close."
2026-06-12 15:13:59,PLAYER,online-boutique-9458,just replicated myself 
2026-06-12 15:14:05,bob,online-boutique-9458,Still seeing zero successful transactions since this started. Revenue loss is stacking up fast.
2026-06-12 15:14:11,shay,online-boutique-9458,I keep coming back to the email maintenance — DNS changes went live just before this all kicked off. zero successful transactions since then. that's not nothing.
2026-06-12 15:14:25,PLAYER,online-boutique-9458,
2026-06-12 15:14:25,uptimelabs,business-comms-9458,*Incident Number INC1021:* p1 checkout not working
2026-06-12 15:14:30,bez,business-comms-9458,How many customers are blocked from checking out? What’s the revenue loss per minute right now?
2026-06-12 15:14:40,PLAYER,business-comms-9458,Issue coming in with checkout not completing 
2026-06-12 15:14:45,bez,business-comms-9458,Is this a total checkout outage or are some transactions still going through? Need clarity on scope.
2026-06-12 15:14:50,PLAYER,business-comms-9458,custoemrs blocked multiple regions worldwide
2026-06-12 15:14:53,bez,business-comms-9458,"Do we have an estimate on how much revenue we’re losing per minute? Also, do we know what’s causing this yet?"
2026-06-12 15:15:05,PLAYER,business-comms-9458,orders per minute have dropped
2026-06-12 15:15:08,bez,business-comms-9458,I need numbers. How many orders are failing? What’s the estimated revenue impact so far?
2026-06-12 15:15:15,PLAYER,online-boutique-9458,@bob what's expected revenue loss right now
2026-06-12 15:15:23,bob,online-boutique-9458,We're losing thousands every minute while checkout is down.
2026-06-12 15:15:33,PLAYER,business-comms-9458,Thosuands a minute here 
2026-06-12 15:15:38,bez,business-comms-9458,What’s the dollar value per minute? Is this affecting all customers or just some regions?
2026-06-12 15:15:59,PLAYER,business-comms-9458,Orders and confirms have hit 0
2026-06-12 15:16:04,bez,business-comms-9458,This is a full outage. What’s the root cause? Are we any closer to resolution? I need an ETA.
2026-06-12 15:16:26,PLAYER,online-boutique-9458,Shay provide all the other recent changes please 
2026-06-12 15:16:31,shay,online-boutique-9458,"hang on, pulling it up now. here are the recent prod changes:"
2026-06-12 15:16:35,shay,online-boutique-9458,"CheckoutService — 14:47 UTC (28 mins ago)
Shipping Service — 14:57 UTC (18 mins ago)
ProductCatalogueService — 14:52 UTC (23 mins ago)
CartService — 12:12 UTC (3h 3m ago)
AdService — 11:12 UTC (4h 3m ago)
CheckoutService — 09:12 UTC (6h 3m ago)
Want me to walk through any of these in detail?"
2026-06-12 15:16:42,PLAYER,business-comms-9458,"root cause unclear yet, potential DNS issues "
2026-06-12 15:16:56,shay,online-boutique-9458,"also, none of these changes look like they'd break checkout end-to-end like this, but tanya's email maintenance went live right before it all fell over. I still think that's worth a closer look."
2026-06-12 15:16:59,bez,business-comms-9458,How long until you expect this fixed? I need a concrete ETA for the board. Are we still in the dark on the cause?
2026-06-12 15:17:15,PLAYER,online-boutique-9458,Can you detail both those CHeckout Services please 
2026-06-12 15:17:20,daniel,online-boutique-9458,"Sure. 14:47 UTC, I bumped the payment response timeout from 10s to 12s. 09:12 UTC, I removed old feature flags."
2026-06-12 15:17:26,daniel,online-boutique-9458,"For context, the timeout change was already queued and approved before this started. Nothing unusual in rollout."
2026-06-12 15:17:36,PLAYER,online-boutique-9458,"@thanya, provide some background on the email maintenance you performed "
2026-06-12 15:17:41,tanya,online-boutique-9458,"I'm mid-way through a canary rollout wiring up a secondary email provider. Maintenance window started at 15:12 UTC, 4 minutes ago. Live on vendor call now."
2026-06-12 15:17:51,tanya,online-boutique-9458,"Primary email provider hasn't been touched. Email confirmations have kept flowing, so this maintenance can't be causing checkout failures. Bob got a heads-up, no user-facing banner needed."
2026-06-12 15:18:06,tanya,online-boutique-9458,"I'm deep in the vendor session, can't take on anything else. Daniel and Shay can cover the application side."
2026-06-12 15:19:05,PLAYER,online-boutique-9458,what about 9:12 UTC ?
2026-06-12 15:19:12,daniel,online-boutique-9458,"09:12 UTC was me. I removed stale feature flags from CheckoutService, nothing risky. No issues reported after that deploy."
2026-06-12 15:19:41,PLAYER,online-boutique-9458,@shay give me a detail on the rest of those changes please
2026-06-12 15:19:48,shay,online-boutique-9458,"yeah, let me look at mine. adservice at 11:12 UTC, I added fallback ad slot logic if both providers 503."
2026-06-12 15:19:54,daniel,online-boutique-9458,"CartService at 12:12 UTC, Tanya increased Redis pool size. Shipping Service at 14:57 UTC, Tanya bumped courier API client lib. ProductCatalogueService at 14:52 UTC, Hamed updated S3 bucket policy, no code changes."
2026-06-12 15:20:38,PLAYER,online-boutique-9458,@hamed are you able to weigh in here? Any suspicons 
2026-06-12 15:20:42,hamed,online-boutique-9458,"Automated reply: Out of office — on holiday today and unavailable. For platform matters contact Tanya. For approvals, please escalate to Tinus."
2026-06-12 15:22:27,PLAYER,online-boutique-9458,"ANything suspicous about that Cart Service change, i know it feeds unto checkout"
2026-06-12 15:22:33,daniel,online-boutique-9458,"CartService change was just a Redis pool size bump for load testing. No downstream risk, nothing odd in the rollout."
2026-06-12 15:25:17,PLAYER,online-boutique-9458,"@tanya, i'm going to need youwith Hamed out as we need proper visibility and understanding of what is happening on the platform "
2026-06-12 15:25:26,PLAYER,online-boutique-9458,we need to idnetify the breakpoint in the chain 
2026-06-12 15:25:27,tanya,online-boutique-9458,"I can't step away, if I leave this vendor session now we lose the rollout window for 2 weeks."
2026-06-12 15:25:33,daniel,online-boutique-9458,App error logs and request traces are where we'll find the signal — want me to start pulling those?
2026-06-12 15:25:40,shay,online-boutique-9458,I keep coming back to the email maintenance — DNS changes went live just before this all kicked off. zero successful transactions since then. that's not nothing.
2026-06-12 15:25:41,PLAYER,online-boutique-9458,right now the changes arent suggesting the root cause 
2026-06-12 15:25:48,daniel,online-boutique-9458,"Agreed, nothing in the recent app changes points to a root cause for this checkout failure."
2026-06-12 15:25:56,PLAYER,online-boutique-9458,please pull logs Daniel 
2026-06-12 15:26:01,shay,online-boutique-9458,"wait hang on — okay that's a lot of errors, checkout is completely broken right now. Tanya kicked off the email maintenance just before this, I wonder if that's related."
2026-06-12 15:26:15,shay,online-boutique-9458,"okay, pulled the logs — look at this: https://assets.prod.uptimelabs.io/drill-assets/43/developer_investigation_logs.webp"
2026-06-12 15:26:24,daniel,online-boutique-9458,"errors are flooding in across multiple services, checkout failures visible everywhere in the logs"
2026-06-12 15:26:24,PLAYER,online-boutique-9458,Shay can you summarise those DNS changes so we can understand them better? 
2026-06-12 15:26:29,shay,online-boutique-9458,"I don't have access to the DNS config itself, that's Tanya's area. I only see the app side and change docs."
2026-06-12 15:27:13,PLAYER,online-boutique-9458,"@tinus Tanya is wrapped with vendor, Hamed is away, can we ask you to take a look at the DNS config "
2026-06-12 15:27:17,tinus,online-boutique-9458,"Automated reply: Hi! I'm currently away for a few hours at a fireside chat at the Tech Leader Summit. For urgent matters, please follow the standard emergency escalation process."
2026-06-12 15:27:34,PLAYER,business-comms-9458,"Potential DNS failure, TTR ETA is 10mins from now "
2026-06-12 15:27:37,bez,business-comms-9458,"If this isn’t resolved in 10 minutes, we’re breaching our 99.9% uptime SLA. Confirm you’re confident in that ETA."
2026-06-12 15:28:15,PLAYER,business-comms-9458,"Can we get Tinus to step away to assist, the escalation process i calling for it. Would make us more confident i the ETA too "
2026-06-12 15:28:19,bez,business-comms-9458,Tinus is at the Tech Leader Summit fireside chat. He’s unavailable. You need to deliver on this ETA without him.
2026-06-12 15:28:50,PLAYER,online-boutique-9458,Daniel can you update any or repair any of this DNS and delivery issues?
2026-06-12 15:28:54,shay,online-boutique-9458,"The email maintenance timing is hard to ignore, it started right when checkout began failing. Might be worth considering."
2026-06-12 15:29:02,shay,online-boutique-9458,Deployment times don't line up cleanly with the failure window. I'd focus on logs for whichever service is throwing errors right now.
2026-06-12 15:29:05,PLAYER,online-boutique-9458,whole lot of timing out 
2026-06-12 15:29:18,shay,online-boutique-9458,"the email maintenance started right as these checkout failures began, still feels worth keeping an eye on — that timing hasn't gone away."
2026-06-12 15:29:27,daniel,online-boutique-9458,"I'm seeing errors across AdService, EmailService, and CheckoutService. Could be related, or just noise. No clear pattern yet."
2026-06-12 15:29:34,shay,online-boutique-9458,"Daniel pushed some checkout changes recently, like bumping the payment timeout and cleaning up old feature flags. Might be worth circling back if logs don't show anything obvious."
2026-06-12 15:29:46,daniel,online-boutique-9458,Email maintenance hasn't been ruled out yet. Still an open thread.
2026-06-12 15:29:50,shay,online-boutique-9458,"If checkout is broken, the immediate downstream services to check are EmailService, PaymentService, or ShippingService — one of these is likely what's actually broken."
2026-06-12 15:30:01,PLAYER,online-boutique-9458,Lets start with Email serice
2026-06-12 15:30:02,daniel,online-boutique-9458,I've pulled PaymentService and CheckoutService logs now. See these are the critical errors found: https://assets.prod.uptimelabs.io/drill-assets/43/payment_logs.webp
2026-06-12 15:30:08,PLAYER,online-boutique-9458,it's the biggest cuplrit there 
2026-06-12 15:30:15,daniel,online-boutique-9458,"Logs checked. PaymentService fails all outbound gateway handshakes. Checkout is healthy, just getting errors."
2026-06-12 15:30:23,shay,online-boutique-9458,"This failure is at the connection layer, that's Tanya's domain not the app side. Worth pulling her off the email maintenance to take a look from platform?"
2026-06-12 15:30:32,daniel,online-boutique-9458,"Every outbound attempt to the gateway fails at the handshake, nothing is getting through from PaymentService."
2026-06-12 15:30:37,tanya,online-boutique-9458,"I'm still on the email maintenance call, can't leave it right now."
2026-06-12 15:30:49,PLAYER,online-boutique-9458,she's tied up and we risk future problems if we pull her 
