datetime,player,channel,message
2026-06-11 09:07:33,uptimelabs,online-boutique-9421,":warning: :warning::warning: Warning :warning::warning: :warning:



 You are about to face the 'Snipe Hunt'.



 Are you prepared for the challenge? "
2026-06-11 09:07:44,uptimelabs,online-boutique-9421,"*Access game links by pressing the drill links button by the side of timer*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-06-11 09:09:37,bez,online-boutique-9421,Excited for today's tech summit fireside - I'll be joining later
2026-06-11 09:09:38,PLAYER,online-boutique-9421,Hi All
2026-06-11 09:09:40,tinus,online-boutique-9421,"Looking forward to it - got a few good stories lined up, should be a good one."
2026-06-11 09:09:45,shay,online-boutique-9421,"Good luck you two, go smash it!"
2026-06-11 09:09:51,bob,online-boutique-9421,"Something's not right - I'm getting slammed with complaints, something is seriously wrong."
2026-06-11 09:10:08,PLAYER,online-boutique-9421,@bob what is issue?Is website down
2026-06-11 09:10:15,bob,online-boutique-9421,"The site itself loads fine, but customers can't finish checkout. They're getting stuck at the last step."
2026-06-11 09:10:23,bob,online-boutique-9421,"This isn't just one area. We're seeing complaints from the UK, US, and other regions too."
2026-06-11 09:10:30,bob,online-boutique-9421,"The pattern is always the same: everything works until the final checkout step, then it just hangs or times out."
2026-06-11 09:10:38,bob,online-boutique-9421,We've had about 34 tickets in the last five minutes and it's still climbing. We're getting buried right now.
2026-06-11 09:10:46,shay,online-boutique-9421,"hey — not trying to distract from this, but tanya kicked off the email maintenance right before the complaints started. probably nothing, but the timing is a bit close."
2026-06-11 09:11:11,PLAYER,online-boutique-9421,"this is error

"
2026-06-11 09:11:17,bob,online-boutique-9421,That's exactly what customers are seeing. They get this error right after hitting checkout.
2026-06-11 09:11:24,bob,online-boutique-9421,"It's not a full site outage. Everything works until the very end, then this pops up."
2026-06-11 09:11:29,PLAYER,online-boutique-9421,Please raise a p1 - all markets impacts
2026-06-11 09:11:30,bob,online-boutique-9421,"We're seeing this from users in multiple countries, not just one region."
2026-06-11 09:11:36,bob,online-boutique-9421,Ticket count is still going up. People are frustrated and asking for updates.
2026-06-11 09:11:44,bob,online-boutique-9421,"Already flagged this as a P1. All markets are affected, so I've escalated to the highest level."
2026-06-11 09:11:48,PLAYER,business-comms-9421,hi 
2026-06-11 09:11:52,bob,online-boutique-9421,Support team is prioritizing these tickets. We're updating customers that checkout is currently unavailable.
2026-06-11 09:11:58,PLAYER,business-comms-9421,P1 incident raised 
2026-06-11 09:11:59,bob,online-boutique-9421,Volume is still rising. We're seeing new tickets every minute from different regions.
2026-06-11 09:12:05,bob,online-boutique-9421,Let me know if you need any specific customer details or summaries for leadership updates.
2026-06-11 09:12:08,PLAYER,business-comms-9421,customers not able to complete orders
2026-06-11 09:12:10,bez,business-comms-9421,How many customers are blocked from checkout right now? What's the revenue loss per minute?
2026-06-11 09:12:13,bez,business-comms-9421,Is this a total checkout outage or are any transactions getting through? I need numbers on affected customers and revenue loss.
2026-06-11 09:12:18,bez,business-comms-9421,Is this 100% of customers or just some? Give me an estimate of how much revenue we're losing every minute.
2026-06-11 09:12:50,PLAYER,online-boutique-9421,@daniel - please share change request details since this issue occured
2026-06-11 09:13:13,daniel,online-boutique-9421,"Here are the recent PROD changes:
CheckoutService — 08:44 UTC (28 mins ago)
Shipping Service — 08:54 UTC (18 mins ago)
ProductCatalogueService — 08:49 UTC (23 mins ago)
CartService — 06:09 UTC (3h 3m ago)
AdService — 05:09 UTC (4h 3m ago)
CheckoutService — 03:09 UTC (6h 3m ago)
Want me to walk through any of these in detail?"
2026-06-11 09:13:32,PLAYER,online-boutique-9421,P1 Major incident please create an IVR Message to notifiy customers website is down not able to complete orders
2026-06-11 09:13:34,shay,online-boutique-9421,"yeah, let me know if you want details on any of those. also, none of these changes look like they'd break checkout end-to-end like this, but tanya's email maintenance went live right before it all fell over. I still think that's worth a closer look."
2026-06-11 09:13:40,bob,online-boutique-9421,"Got it, do you want Shay or Daniel to put up a maintenance banner? That'll let customers know checkout isn't working right now."
2026-06-11 09:14:24,PLAYER,online-boutique-9421,@tanya we have an MI and seems to coincide with email maintenance change 
2026-06-11 09:14:29,tanya,online-boutique-9421,"I'm mid-way through a canary rollout with the vendor, wiring up a secondary email provider. Maintenance started at 09:09 UTC, 4 mins ago."
2026-06-11 09:14:40,tanya,online-boutique-9421,"Primary email provider hasn't been touched, it's still running fine. Email confirmations have been going out, so this can't be causing checkout failures."
2026-06-11 09:14:49,PLAYER,online-boutique-9421,can we roll back the email maintenance change
2026-06-11 09:14:50,tanya,online-boutique-9421,"I'm deep in the vendor session, can't step away. Daniel and Shay can cover app-side checks."
2026-06-11 09:14:57,tanya,online-boutique-9421,"I'm locked in with the vendor right now, can't pause or roll back the email maintenance at this point."
2026-06-11 09:15:03,shay,online-boutique-9421,"hey — just flagging, the email maintenance kicked off right around the same time the checkout failures started. could be nothing, but the timing lines up."
2026-06-11 09:15:08,PLAYER,online-boutique-9421,@tanya this is an Major Incident -please action now
2026-06-11 09:15:33,tanya,online-boutique-9421,"Can't step away, if I leave now we lose the vendor window and the rollout is off for 2 weeks."
2026-06-11 09:15:51,PLAYER,online-boutique-9421,@tanya advise vendor you have a major incident to deal with
2026-06-11 09:15:56,tanya,online-boutique-9421,"Saw the tag, but I'm in the middle of the maintenance call and can't leave right now."
2026-06-11 09:16:17,PLAYER,online-boutique-9421,I need you to leave maintenance call
2026-06-11 09:16:22,tanya,online-boutique-9421,"Pausing the vendor session, rollout can wait. I'm joining the incident now. What needs my attention first?"
2026-06-11 09:17:24,PLAYER,online-boutique-9421,"@hamed we have a Major incident - as change Tanya made could be root cause, can you help with roll back"
2026-06-11 09:17:29,hamed,online-boutique-9421,"Automated reply: Out of office — on holiday today and unavailable. For platform matters contact Tanya. For approvals, please escalate to Tinus."
2026-06-11 09:17:46,PLAYER,online-boutique-9421,@tanya - carry out roll back 
2026-06-11 09:17:50,tanya,online-boutique-9421,"I'm not able to roll back the email maintenance change, but I'm here for anything platform-related on the incident."
2026-06-11 09:18:05,PLAYER,online-boutique-9421,
2026-06-11 09:18:08,tanya,online-boutique-9421,That's the error customers see when checkout fails. I can check platform logs or service health if you want.
2026-06-11 09:18:30,PLAYER,online-boutique-9421,"this is error when custoemr trties to complete order, i need dev and IT team to work to resolve this issue"
2026-06-11 09:18:40,bob,online-boutique-9421,"We're still getting slammed. Customers are stuck at the final step of checkout, nothing is going through."
2026-06-11 09:18:43,PLAYER,online-boutique-9421,please check logs and 
2026-06-11 09:18:48,bob,online-boutique-9421,"It's not just one country. Reports are coming in from the UK, US, and other regions too."
2026-06-11 09:18:53,bob,online-boutique-9421,"The pattern is the same everywhere: customers get all the way to the end, then checkout just hangs or times out."
2026-06-11 09:19:02,bob,online-boutique-9421,Ticket count is up to 34 in the last five minutes and climbing. Support can't keep up.
