datetime,player,channel,message
2026-06-11 07:17:32,uptimelabs,online-boutique-9418,":warning: :warning::warning: Warning :warning::warning: :warning:



 You are about to face the 'Snipe Hunt'.



 Are you prepared for the challenge? "
2026-06-11 07:17:43,uptimelabs,online-boutique-9418,"*Access game links by pressing the drill links button by the side of timer*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-06-11 07:21:26,bez,online-boutique-9418,Excited for today's tech summit fireside - I'll be joining later
2026-06-11 07:21:28,tinus,online-boutique-9418,"Looking forward to it - got a few good stories lined up, should be a good one."
2026-06-11 07:21:33,shay,online-boutique-9418,"Good luck you two, go smash it!"
2026-06-11 07:21:39,bob,online-boutique-9418,"Something's not right - I'm getting slammed with complaints, something is seriously wrong."
2026-06-11 07:22:17,PLAYER,online-boutique-9418,Hi @bob  can you please give more info about complains ? what is impact 
2026-06-11 07:22:23,bob,online-boutique-9418,"We're getting buried in tickets right now. Customers can't finish checkout, and it's coming from all over."
2026-06-11 07:22:31,bob,online-boutique-9418,"This isn't just one region. I'm seeing complaints from the UK, US, and a bunch of other places."
2026-06-11 07:22:36,bob,online-boutique-9418,"The pattern is always the same: everything works until the very last step at checkout, then it just hangs or times out."
2026-06-11 07:22:46,bob,online-boutique-9418,We've had about 34 tickets in the last five minutes. The queue is still growing.
2026-06-11 07:22:52,shay,online-boutique-9418,"hey — not trying to distract from this, but tanya kicked off the email maintenance right before the complaints started. probably nothing, but the timing is a bit close."
2026-06-11 07:23:25,PLAYER,online-boutique-9418,
2026-06-11 07:23:25,uptimelabs,business-comms-9418,*Incident Number INC1026:* p1 Customers can't finish checkout
2026-06-11 07:23:29,bez,business-comms-9418,How many customers are blocked right now? What’s the revenue loss per minute? Is this a total checkout outage or just some users?
2026-06-11 07:24:28,PLAYER,online-boutique-9418,hi @bob  How many customers are blocked right now? What’s the revenue loss per minute? Is this a total checkout outage or just some users
2026-06-11 07:24:34,bob,online-boutique-9418,"No successful transactions since this started. It's a total outage. We're losing about £1,000 to £1,500 every minute."
2026-06-11 07:24:40,shay,online-boutique-9418,I keep coming back to the email maintenance — DNS changes went live just before this all kicked off. zero successful transactions since then. that's not nothing.
2026-06-11 07:25:00,PLAYER,business-comms-9418,"Hi @bez  No successful transactions since this started. It's a total outage. We're losing about £1,000 to £1,500 every minute."
2026-06-11 07:25:04,bez,business-comms-9418,Do you know what’s causing this yet? Where exactly is the failure? I need a time estimate for recovery.
2026-06-11 07:25:14,PLAYER,business-comms-9418,we are looking into it.
2026-06-11 07:25:17,bez,business-comms-9418,Are you any closer to finding the root cause? I need an ETA for when checkout will be back up.
2026-06-11 07:28:07,PLAYER,online-boutique-9418,hi @shay what was DNS changes ?
2026-06-11 07:28:12,shay,online-boutique-9418,Tanya's email maintenance included a DNS update. The change went live right before the checkout failures started. I can pull the record if you want.
2026-06-11 07:28:35,PLAYER,online-boutique-9418,please pull records
2026-06-11 07:28:40,shay,online-boutique-9418,"hang on, pulling it up now. nothing in the change log about DNS for checkout, just the email maintenance window. want the full deployment list?"
2026-06-11 07:28:50,daniel,online-boutique-9418,"No DNS changes for checkout or payments in the deployment records. Only Tanya's email maintenance had DNS, and that's email only."
2026-06-11 07:28:55,PLAYER,online-boutique-9418,also any recent changes on cart services ? 
2026-06-11 07:29:00,daniel,online-boutique-9418,"CartService had a PROD change at 04:21 UTC, Tanya increased Redis pool size. That's the only recent one."
2026-06-11 07:29:56,PLAYER,online-boutique-9418,hi @shay  want the full deployment list
2026-06-11 07:30:02,shay,online-boutique-9418,"yeah, let me look at mine. here's the full prod deployment list:"
2026-06-11 07:30:07,shay,online-boutique-9418,"CheckoutService — 06:56 UTC (33 mins ago)
Shipping Service — 07:06 UTC (23 mins ago)
ProductCatalogueService — 07:01 UTC (28 mins ago)
CartService — 04:21 UTC (3h 8m ago)
AdService — 03:21 UTC (4h 8m ago)
CheckoutService — 01:21 UTC (6h 8m ago)
Want me to walk through any of these in detail?"
2026-06-11 07:30:25,shay,online-boutique-9418,"also, none of these changes look like they'd break checkout end-to-end like this, but tanya's email maintenance went live right before it all fell over. I still think that's worth a closer look."
2026-06-11 07:31:39,PLAYER,online-boutique-9418,Hi @tanya  can you please provide more info about dns Maintenance  ?
2026-06-11 07:31:52,tanya,online-boutique-9418,"I'm mid-way through a canary rollout wiring up a secondary email provider. Maintenance window started at 07:21 UTC, about 10 minutes ago."
2026-06-11 07:32:01,PLAYER,online-boutique-9418,also @hamed  and @daniel  can you please confirm logs ?
2026-06-11 07:32:01,tanya,online-boutique-9418,"Primary email provider hasn't been touched, it's all still running fine. Email confirmations are going out, so this can't be causing checkout failures."
2026-06-11 07:32:12,tanya,online-boutique-9418,"I'm deep in the vendor session, can't take on anything else. Daniel and Shay can cover the application side."
2026-06-11 07:32:19,hamed,online-boutique-9418,"Automated reply: Out of office — on holiday today and unavailable. For platform matters contact Tanya. For approvals, please escalate to Tinus."
2026-06-11 07:34:25,PLAYER,online-boutique-9418,hi @tanya  do you have any evidence about its not from checkout ?
2026-06-11 07:34:32,tanya,online-boutique-9418,"I can't step away from this vendor call, leaving now means we lose the rollout slot for two weeks."
2026-06-11 07:34:52,PLAYER,online-boutique-9418,Hi @shay have seen any error logs ?
2026-06-11 07:35:00,shay,online-boutique-9418,"wait hang on, that's a lot of errors, checkout is completely broken right now. Tanya kicked off the email maintenance just before this, I wonder if that's related."
2026-06-11 07:35:12,shay,online-boutique-9418,"okay, pulled the logs — look at this: https://assets.prod.uptimelabs.io/drill-assets/43/developer_investigation_logs.webp"
2026-06-11 07:35:17,PLAYER,business-comms-9418,I working on it. will try to close issue ASAP
2026-06-11 07:35:20,daniel,online-boutique-9418,"errors are flooding in across multiple services, checkout failures everywhere"
2026-06-11 07:35:24,bez,business-comms-9418,That’s not specific enough. Are you still in the dark or do you have a lead? Give me a real estimate for resolution.
2026-06-11 07:35:59,PLAYER,online-boutique-9418,can some one send me CheckoutService  recent change request ?
2026-06-11 07:36:04,daniel,online-boutique-9418,"Latest CheckoutService change was at 06:56 UTC, increased payment response timeout from 10s to 12s. That was already queued and approved before this started."
2026-06-11 07:37:09,PLAYER,online-boutique-9418,hi @shay  send me recent changes list 
2026-06-11 07:37:14,shay,online-boutique-9418,"yeah, let me grab the list. here are all recent prod changes:"
